"parents","n","labels","id"
"Costa Rica",24," Fantasy","Costa Rica  -   Fantasy"
"Costa Rica",1," Game Show","Costa Rica  -   Game Show"
"Costa Rica",30," Horror","Costa Rica  -   Horror"
"Costa Rica",33," Music","Costa Rica  -   Music"
"Costa Rica",42," Mystery","Costa Rica  -   Mystery"
"Costa Rica",6," Reality TV","Costa Rica  -   Reality TV"
"Costa Rica",132," Romance","Costa Rica  -   Romance"
"Costa Rica",18," Sci Fi","Costa Rica  -   Sci Fi"
"Costa Rica",1," Short","Costa Rica  -   Short"
"Costa Rica",9," Sport","Costa Rica  -   Sport"
"Costa Rica",7," Talk Show","Costa Rica  -   Talk Show"
"Costa Rica",73," Thriller","Costa Rica  -   Thriller"
"Costa Rica",2," War","Costa Rica  -   War"
"Croatia",173," Action","Croatia  -   Action"
"Croatia",8," Adult","Croatia  -   Adult"
"Croatia",117," Adventure","Croatia  -   Adventure"
"Croatia",53," Animation","Croatia  -   Animation"
"Croatia",7," Biography","Croatia  -   Biography"
"Croatia",203," Comedy","Croatia  -   Comedy"
"Croatia",132," Crime","Croatia  -   Crime"
"Croatia",19," Documentary","Croatia  -   Documentary"
"Croatia",289," Drama","Croatia  -   Drama"
"Croatia",27," Family","Croatia  -   Family"
"Croatia",26," Fantasy","Croatia  -   Fantasy"
"Croatia",10," Game Show","Croatia  -   Game Show"
"Croatia",4," History","Croatia  -   History"
"Croatia",29," Horror","Croatia  -   Horror"
"Croatia",3," Music","Croatia  -   Music"
"Croatia",46," Mystery","Croatia  -   Mystery"
"Croatia",25," Reality TV","Croatia  -   Reality TV"
"Croatia",91," Romance","Croatia  -   Romance"
"Croatia",12," Sci Fi","Croatia  -   Sci Fi"
"Croatia",1," Short","Croatia  -   Short"
"Croatia",14," Sport","Croatia  -   Sport"
"Croatia",12," Talk Show","Croatia  -   Talk Show"
"Croatia",67," Thriller","Croatia  -   Thriller"
"Croatia",6," War","Croatia  -   War"
"Cyprus",201," Action","Cyprus  -   Action"
"Cyprus",5," Adult","Cyprus  -   Adult"
"Cyprus",136," Adventure","Cyprus  -   Adventure"
"Cyprus",52," Animation","Cyprus  -   Animation"
"Cyprus",10," Biography","Cyprus  -   Biography"
"Cyprus",195," Comedy","Cyprus  -   Comedy"
"Cyprus",123," Crime","Cyprus  -   Crime"
"Cyprus",15," Documentary","Cyprus  -   Documentary"
"Cyprus",324," Drama","Cyprus  -   Drama"
"Cyprus",31," Family","Cyprus  -   Family"
"Cyprus",29," Fantasy","Cyprus  -   Fantasy"
"Cyprus",8," Game Show","Cyprus  -   Game Show"
"Cyprus",1," History","Cyprus  -   History"
"Cyprus",28," Horror","Cyprus  -   Horror"
"Cyprus",4," Music","Cyprus  -   Music"
"Cyprus",49," Mystery","Cyprus  -   Mystery"
"Cyprus",18," Reality TV","Cyprus  -   Reality TV"
"Cyprus",88," Romance","Cyprus  -   Romance"
"Cyprus",40," Sci Fi","Cyprus  -   Sci Fi"
"Cyprus",5," Short","Cyprus  -   Short"
"Cyprus",10," Sport","Cyprus  -   Sport"
"Cyprus",11," Talk Show","Cyprus  -   Talk Show"
"Cyprus",56," Thriller","Cyprus  -   Thriller"
"Cyprus",8," War","Cyprus  -   War"
"Czech Republic",195," Action","Czech Republic  -   Action"
"Czech Republic",4," Adult","Czech Republic  -   Adult"
"Czech Republic",160," Adventure","Czech Republic  -   Adventure"
"Czech Republic",83," Animation","Czech Republic  -   Animation"
"Czech Republic",14," Biography","Czech Republic  -   Biography"
"Czech Republic",189," Comedy","Czech Republic  -   Comedy"
"Czech Republic",122," Crime","Czech Republic  -   Crime"
"Czech Republic",29," Documentary","Czech Republic  -   Documentary"
"Czech Republic",290," Drama","Czech Republic  -   Drama"
"Czech Republic",24," Family","Czech Republic  -   Family"
"Czech Republic",45," Fantasy","Czech Republic  -   Fantasy"
"Czech Republic",12," Game Show","Czech Republic  -   Game Show"
"Czech Republic",2," History","Czech Republic  -   History"
"Czech Republic",32," Horror","Czech Republic  -   Horror"
"Czech Republic",2," Music","Czech Republic  -   Music"
"Czech Republic",52," Mystery","Czech Republic  -   Mystery"
"Czech Republic",27," Reality TV","Czech Republic  -   Reality TV"
"Czech Republic",79," Romance","Czech Republic  -   Romance"
"Czech Republic",11," Sci Fi","Czech Republic  -   Sci Fi"
"Czech Republic",1," Short","Czech Republic  -   Short"
