"label","n","parent","id"
"Canada",52,"total -  Animation","total -  Animation  -  Canada"
"Canada",24,"total -  Biography","total -  Biography  -  Canada"
"Canada",181,"total -  Comedy","total -  Comedy  -  Canada"
"Canada",134,"total -  Crime","total -  Crime  -  Canada"
"Canada",29,"total -  Documentary","total -  Documentary  -  Canada"
"Canada",262,"total -  Drama","total -  Drama  -  Canada"
"Canada",24,"total -  Family","total -  Family  -  Canada"
"Canada",33,"total -  Fantasy","total -  Fantasy  -  Canada"
"Canada",1,"total -  Film Noir","total -  Film Noir  -  Canada"
"Canada",7,"total -  Game Show","total -  Game Show  -  Canada"
"Canada",4,"total -  History","total -  History  -  Canada"
"Canada",37,"total -  Horror","total -  Horror  -  Canada"
"Canada",3,"total -  Music","total -  Music  -  Canada"
"Canada",1,"total -  Musical","total -  Musical  -  Canada"
"Canada",71,"total -  Mystery","total -  Mystery  -  Canada"
"Canada",36,"total -  Reality TV","total -  Reality TV  -  Canada"
"Canada",81,"total -  Romance","total -  Romance  -  Canada"
"Canada",23,"total -  Sci Fi","total -  Sci Fi  -  Canada"
"Canada",2,"total -  Short","total -  Short  -  Canada"
"Canada",10,"total -  Sport","total -  Sport  -  Canada"
"Canada",11,"total -  Talk Show","total -  Talk Show  -  Canada"
"Canada",84,"total -  Thriller","total -  Thriller  -  Canada"
"Canada",5,"total -  War","total -  War  -  Canada"
"Canada",2,"total -  Western","total -  Western  -  Canada"
"Chile",138,"total -  Action","total -  Action  -  Chile"
"Chile",3,"total -  Adult","total -  Adult  -  Chile"
"Chile",123,"total -  Adventure","total -  Adventure  -  Chile"
"Chile",77,"total -  Animation","total -  Animation  -  Chile"
"Chile",5,"total -  Biography","total -  Biography  -  Chile"
"Chile",199,"total -  Comedy","total -  Comedy  -  Chile"
"Chile",103,"total -  Crime","total -  Crime  -  Chile"
"Chile",7,"total -  Documentary","total -  Documentary  -  Chile"
"Chile",333,"total -  Drama","total -  Drama  -  Chile"
"Chile",20,"total -  Family","total -  Family  -  Chile"
"Chile",24,"total -  Fantasy","total -  Fantasy  -  Chile"
"Chile",2,"total -  History","total -  History  -  Chile"
"Chile",30,"total -  Horror","total -  Horror  -  Chile"
"Chile",36,"total -  Music","total -  Music  -  Chile"
"Chile",44,"total -  Mystery","total -  Mystery  -  Chile"
"Chile",4,"total -  Reality TV","total -  Reality TV  -  Chile"
"Chile",121,"total -  Romance","total -  Romance  -  Chile"
"Chile",20,"total -  Sci Fi","total -  Sci Fi  -  Chile"
"Chile",1,"total -  Short","total -  Short  -  Chile"
"Chile",7,"total -  Sport","total -  Sport  -  Chile"
"Chile",9,"total -  Talk Show","total -  Talk Show  -  Chile"
"Chile",62,"total -  Thriller","total -  Thriller  -  Chile"
"Chile",5,"total -  War","total -  War  -  Chile"
"Colombia",152,"total -  Action","total -  Action  -  Colombia"
"Colombia",4,"total -  Adult","total -  Adult  -  Colombia"
"Colombia",114,"total -  Adventure","total -  Adventure  -  Colombia"
"Colombia",64,"total -  Animation","total -  Animation  -  Colombia"
"Colombia",5,"total -  Biography","total -  Biography  -  Colombia"
"Colombia",192,"total -  Comedy","total -  Comedy  -  Colombia"
"Colombia",114,"total -  Crime","total -  Crime  -  Colombia"
"Colombia",26,"total -  Documentary","total -  Documentary  -  Colombia"
"Colombia",287,"total -  Drama","total -  Drama  -  Colombia"
"Colombia",18,"total -  Family","total -  Family  -  Colombia"
"Colombia",26,"total -  Fantasy","total -  Fantasy  -  Colombia"
"Colombia",27,"total -  Horror","total -  Horror  -  Colombia"
"Colombia",18,"total -  Music","total -  Music  -  Colombia"
"Colombia",4,"total -  Musical","total -  Musical  -  Colombia"
"Colombia",46,"total -  Mystery","total -  Mystery  -  Colombia"
"Colombia",5,"total -  Reality TV","total -  Reality TV  -  Colombia"
"Colombia",111,"total -  Romance","total -  Romance  -  Colombia"
"Colombia",18,"total -  Sci Fi","total -  Sci Fi  -  Colombia"
"Colombia",2,"total -  Short","total -  Short  -  Colombia"
"Colombia",6,"total -  Sport","total -  Sport  -  Colombia"
"Colombia",7,"total -  Talk Show","total -  Talk Show  -  Colombia"
"Colombia",78,"total -  Thriller","total -  Thriller  -  Colombia"
"Colombia",4,"total -  War","total -  War  -  Colombia"
"Costa Rica",134,"total -  Action","total -  Action  -  Costa Rica"
"Costa Rica",4,"total -  Adult","total -  Adult  -  Costa Rica"
"Costa Rica",105,"total -  Adventure","total -  Adventure  -  Costa Rica"
"Costa Rica",62,"total -  Animation","total -  Animation  -  Costa Rica"
"Costa Rica",6,"total -  Biography","total -  Biography  -  Costa Rica"
"Costa Rica",206,"total -  Comedy","total -  Comedy  -  Costa Rica"
"Costa Rica",103,"total -  Crime","total -  Crime  -  Costa Rica"
"Costa Rica",11,"total -  Documentary","total -  Documentary  -  Costa Rica"
"Costa Rica",323,"total -  Drama","total -  Drama  -  Costa Rica"
"Costa Rica",24,"total -  Family","total -  Family  -  Costa Rica"
"Costa Rica",24,"total -  Fantasy","total -  Fantasy  -  Costa Rica"
"Costa Rica",1,"total -  Game Show","total -  Game Show  -  Costa Rica"
"Costa Rica",30,"total -  Horror","total -  Horror  -  Costa Rica"
"Costa Rica",33,"total -  Music","total -  Music  -  Costa Rica"
"Costa Rica",42,"total -  Mystery","total -  Mystery  -  Costa Rica"
"Costa Rica",6,"total -  Reality TV","total -  Reality TV  -  Costa Rica"
"Costa Rica",132,"total -  Romance","total -  Romance  -  Costa Rica"
"Costa Rica",18,"total -  Sci Fi","total -  Sci Fi  -  Costa Rica"
"Costa Rica",1,"total -  Short","total -  Short  -  Costa Rica"
"Costa Rica",9,"total -  Sport","total -  Sport  -  Costa Rica"
"Costa Rica",7,"total -  Talk Show","total -  Talk Show  -  Costa Rica"
"Costa Rica",73,"total -  Thriller","total -  Thriller  -  Costa Rica"
"Costa Rica",2,"total -  War","total -  War  -  Costa Rica"
"Croatia",173,"total -  Action","total -  Action  -  Croatia"
"Croatia",8,"total -  Adult","total -  Adult  -  Croatia"
"Croatia",117,"total -  Adventure","total -  Adventure  -  Croatia"
"Croatia",53,"total -  Animation","total -  Animation  -  Croatia"
"Croatia",7,"total -  Biography","total -  Biography  -  Croatia"
"Croatia",203,"total -  Comedy","total -  Comedy  -  Croatia"
"Croatia",132,"total -  Crime","total -  Crime  -  Croatia"
"Croatia",19,"total -  Documentary","total -  Documentary  -  Croatia"
"Croatia",289,"total -  Drama","total -  Drama  -  Croatia"
"Croatia",27,"total -  Family","total -  Family  -  Croatia"
"Croatia",26,"total -  Fantasy","total -  Fantasy  -  Croatia"
"Croatia",10,"total -  Game Show","total -  Game Show  -  Croatia"
"Croatia",4,"total -  History","total -  History  -  Croatia"
"Croatia",29,"total -  Horror","total -  Horror  -  Croatia"
"Croatia",3,"total -  Music","total -  Music  -  Croatia"
