"id","n","label","parent"
"total -  Action  -  El Salvador",149,"El Salvador","total -  Action"
"total -  Adventure  -  El Salvador",109,"El Salvador","total -  Adventure"
"total -  Animation  -  El Salvador",66,"El Salvador","total -  Animation"
"total -  Comedy  -  El Salvador",191,"El Salvador","total -  Comedy"
"total -  Crime  -  El Salvador",109,"El Salvador","total -  Crime"
"total -  Drama  -  El Salvador",295,"El Salvador","total -  Drama"
"total -  Music  -  El Salvador",31,"El Salvador","total -  Music"
"total -  Mystery  -  El Salvador",36,"El Salvador","total -  Mystery"
"total -  Romance  -  El Salvador",109,"El Salvador","total -  Romance"
"total -  Thriller  -  El Salvador",66,"El Salvador","total -  Thriller"
"total -  Action  -  Estonia",187,"Estonia","total -  Action"
"total -  Adventure  -  Estonia",128,"Estonia","total -  Adventure"
"total -  Animation  -  Estonia",56,"Estonia","total -  Animation"
"total -  Comedy  -  Estonia",210,"Estonia","total -  Comedy"
"total -  Crime  -  Estonia",111,"Estonia","total -  Crime"
"total -  Drama  -  Estonia",265,"Estonia","total -  Drama"
"total -  Mystery  -  Estonia",58,"Estonia","total -  Mystery"
"total -  Romance  -  Estonia",78,"Estonia","total -  Romance"
"total -  Sci Fi  -  Estonia",45,"Estonia","total -  Sci Fi"
"total -  Thriller  -  Estonia",58,"Estonia","total -  Thriller"
"total -  Action  -  Finland",205,"Finland","total -  Action"
"total -  Adventure  -  Finland",119,"Finland","total -  Adventure"
"total -  Animation  -  Finland",53,"Finland","total -  Animation"
"total -  Comedy  -  Finland",176,"Finland","total -  Comedy"
"total -  Crime  -  Finland",143,"Finland","total -  Crime"
"total -  Drama  -  Finland",324,"Finland","total -  Drama"
"total -  Fantasy  -  Finland",38,"Finland","total -  Fantasy"
"total -  Mystery  -  Finland",55,"Finland","total -  Mystery"
"total -  Romance  -  Finland",75,"Finland","total -  Romance"
"total -  Thriller  -  Finland",62,"Finland","total -  Thriller"
"total -  Action  -  France",207,"France","total -  Action"
"total -  Adventure  -  France",138,"France","total -  Adventure"
"total -  Animation  -  France",49,"France","total -  Animation"
"total -  Comedy  -  France",157,"France","total -  Comedy"
"total -  Crime  -  France",141,"France","total -  Crime"
"total -  Drama  -  France",339,"France","total -  Drama"
"total -  Fantasy  -  France",57,"France","total -  Fantasy"
"total -  Mystery  -  France",48,"France","total -  Mystery"
"total -  Romance  -  France",69,"France","total -  Romance"
"total -  Thriller  -  France",87,"France","total -  Thriller"
"total -  Action  -  Germany",209,"Germany","total -  Action"
"total -  Adventure  -  Germany",163,"Germany","total -  Adventure"
"total -  Comedy  -  Germany",180,"Germany","total -  Comedy"
"total -  Crime  -  Germany",142,"Germany","total -  Crime"
"total -  Drama  -  Germany",300,"Germany","total -  Drama"
"total -  Family  -  Germany",58,"Germany","total -  Family"
"total -  Fantasy  -  Germany",65,"Germany","total -  Fantasy"
"total -  Mystery  -  Germany",50,"Germany","total -  Mystery"
"total -  Romance  -  Germany",72,"Germany","total -  Romance"
"total -  Thriller  -  Germany",78,"Germany","total -  Thriller"
"total -  Action  -  Greece",187,"Greece","total -  Action"
"total -  Adventure  -  Greece",130,"Greece","total -  Adventure"
"total -  Animation  -  Greece",54,"Greece","total -  Animation"
"total -  Comedy  -  Greece",176,"Greece","total -  Comedy"
"total -  Crime  -  Greece",127,"Greece","total -  Crime"
"total -  Drama  -  Greece",326,"Greece","total -  Drama"
"total -  Fantasy  -  Greece",45,"Greece","total -  Fantasy"
"total -  Mystery  -  Greece",56,"Greece","total -  Mystery"
"total -  Romance  -  Greece",85,"Greece","total -  Romance"
"total -  Thriller  -  Greece",53,"Greece","total -  Thriller"
"total -  Action  -  Guadeloupe",221,"Guadeloupe","total -  Action"
"total -  Adventure  -  Guadeloupe",129,"Guadeloupe","total -  Adventure"
"total -  Animation  -  Guadeloupe",45,"Guadeloupe","total -  Animation"
"total -  Comedy  -  Guadeloupe",152,"Guadeloupe","total -  Comedy"
"total -  Crime  -  Guadeloupe",143,"Guadeloupe","total -  Crime"
"total -  Drama  -  Guadeloupe",312,"Guadeloupe","total -  Drama"
"total -  Fantasy  -  Guadeloupe",49,"Guadeloupe","total -  Fantasy"
"total -  Horror  -  Guadeloupe",41,"Guadeloupe","total -  Horror"
"total -  Romance  -  Guadeloupe",77,"Guadeloupe","total -  Romance"
"total -  Thriller  -  Guadeloupe",70,"Guadeloupe","total -  Thriller"
"total -  Action  -  Guatemala",132,"Guatemala","total -  Action"
"total -  Adventure  -  Guatemala",110,"Guatemala","total -  Adventure"
"total -  Animation  -  Guatemala",66,"Guatemala","total -  Animation"
"total -  Comedy  -  Guatemala",202,"Guatemala","total -  Comedy"
"total -  Crime  -  Guatemala",99,"Guatemala","total -  Crime"
"total -  Drama  -  Guatemala",301,"Guatemala","total -  Drama"
"total -  Music  -  Guatemala",32,"Guatemala","total -  Music"
"total -  Mystery  -  Guatemala",42,"Guatemala","total -  Mystery"
"total -  Romance  -  Guatemala",116,"Guatemala","total -  Romance"
"total -  Thriller  -  Guatemala",61,"Guatemala","total -  Thriller"
"total -  Action  -  Honduras",140,"Honduras","total -  Action"
"total -  Adventure  -  Honduras",94,"Honduras","total -  Adventure"
"total -  Animation  -  Honduras",49,"Honduras","total -  Animation"
"total -  Comedy  -  Honduras",194,"Honduras","total -  Comedy"
"total -  Crime  -  Honduras",113,"Honduras","total -  Crime"
"total -  Drama  -  Honduras",312,"Honduras","total -  Drama"
"total -  Music  -  Honduras",32,"Honduras","total -  Music"
"total -  Mystery  -  Honduras",43,"Honduras","total -  Mystery"
"total -  Romance  -  Honduras",125,"Honduras","total -  Romance"
"total -  Thriller  -  Honduras",73,"Honduras","total -  Thriller"
"total -  Action  -  Hong Kong",242,"Hong Kong","total -  Action"
"total -  Adventure  -  Hong Kong",116,"Hong Kong","total -  Adventure"
"total -  Comedy  -  Hong Kong",147,"Hong Kong","total -  Comedy"
"total -  Crime  -  Hong Kong",100,"Hong Kong","total -  Crime"
"total -  Drama  -  Hong Kong",337,"Hong Kong","total -  Drama"
"total -  Horror  -  Hong Kong",44,"Hong Kong","total -  Horror"
"total -  Mystery  -  Hong Kong",73,"Hong Kong","total -  Mystery"
"total -  Romance  -  Hong Kong",131,"Hong Kong","total -  Romance"
"total -  Sci Fi  -  Hong Kong",69,"Hong Kong","total -  Sci Fi"
"total -  Thriller  -  Hong Kong",80,"Hong Kong","total -  Thriller"
"total -  Action  -  Hungary",193,"Hungary","total -  Action"
"total -  Adventure  -  Hungary",136,"Hungary","total -  Adventure"
"total -  Animation  -  Hungary",65,"Hungary","total -  Animation"
